stage_type,stage_name,stage_order,conversion_probability,dwell_min_months,dwell_mode_months,dwell_max_months,expected_units,expansion_probability,expansion_multiple,classification,notes
commercial,Target account,0,1.00,0.5,1,2,0,0.0,1.0,assumed,"Entry point; conversion_probability=1.0 by definition (all entrants start here)."
commercial,Qualified opportunity,1,0.60,1,2,4,0,0.0,1.0,assumed,"Generic deployment-stage-robotics default, not company-specific. Override with company data."
commercial,Technical discovery,2,0.70,1,2,3,0,0.0,1.0,assumed,""
commercial,Site and workflow assessment,3,0.75,1,2,4,0,0.0,1.0,assumed,""
commercial,Commercial proposal,4,0.65,1,2,3,0,0.0,1.0,assumed,""
commercial,Contracted pilot,5,0.80,1,1,2,0,0.0,1.0,assumed,""
commercial,Pilot active,6,0.70,3,6,12,5,0.0,1.0,assumed,"expected_units=5 represents a typical initial pilot size; directionally informed by calibration_timelines.csv but not a per-stage citation."
commercial,Pilot technically accepted,7,0.65,1,2,4,0,0.0,1.0,assumed,""
commercial,Production expansion contracted,8,0.50,2,4,8,15,0.40,3.0,assumed,"expected_units=15 is the initial production-deployment size; expansion_probability/multiple model a possible further multi-site expansion."
commercial,Multi-site or fleet expansion,9,0.35,3,6,12,0,0.0,1.0,assumed,""
deployment,Units commercially committed,0,0.95,0,1,1,0,0.0,1.0,assumed,"Small conversion loss models order cancellation risk between signing and scheduling."
deployment,Units scheduled,1,0.97,1,2,3,0,0.0,1.0,assumed,""
deployment,Units in production or procurement,2,0.98,2,4,8,0,0.0,1.0,assumed,"Directionally consistent with autonomous_trucking and construction segment calibration rows in calibration_timelines.csv (multi-month hardware lead times), not a precise citation."
deployment,Units delivered to site,3,0.99,1,2,4,0,0.0,1.0,assumed,""
