scenario,customer_id,customer_name,contracted_backlog_usd,share_of_total_backlog,classification,notes
disclosed_total,TOTAL,All customers (disclosed total),22500000000,1.0,disclosed,"SYM-001: Symbotic FY2025 10-K, as of 2025-09-27. This is a BACKLOG figure, not recognized revenue -- see spec section 8.5/14."
equal_split_assumed,walmart,Walmart,9000000000,0.40,assumed,"Customer-by-customer split is NOT separately disclosed; the 10-K states Walmart and GreenBox together comprise 'the vast majority' of backlog. This scenario assumes an equal 40/40/20 split as one of several sensitivity cases, per spec section 14's instruction to provide sensitivity cases rather than one estimate presented as fact."
equal_split_assumed,greenbox,GreenBox joint venture,9000000000,0.40,assumed,"GreenBox is a 35% (Symbotic) / 65% (SoftBank) joint venture (SYM-002), not a fully independent commercial counterparty -- relevant when interpreting 'largest customer.'"
equal_split_assumed,other,Other customers (residual),4500000000,0.20,derived,"Residual = disclosed total (SYM-001) minus this scenario's assumed Walmart and GreenBox allocations."
walmart_heavy_assumed,walmart,Walmart,12375000000,0.55,assumed,"Alternative sensitivity case weighting Walmart's Master Automation Agreement (SYM-004: up to 400 committed + 200 optional micro-fulfillment systems, Jan 2025) more heavily."
walmart_heavy_assumed,greenbox,GreenBox joint venture,6750000000,0.30,assumed,"Same GreenBox JV structure note as above (SYM-002)."
walmart_heavy_assumed,other,Other customers (residual),3375000000,0.15,derived,"Residual = disclosed total minus this scenario's assumed allocations."
greenbox_floor_bound,greenbox,GreenBox joint venture,7500000000,0.333,assumed,"Uses GreenBox's disclosed $7.5B/6-year minimum purchase commitment (SYM-003) as a floor-bound proxy for its backlog share. This is an assumption about how a forward purchase commitment maps to the current backlog snapshot, not a disclosed backlog split -- the $7.5B figure itself is disclosed, its use here as a share of the September 2025 backlog is not."
greenbox_floor_bound,walmart,Walmart,11250000000,0.500,assumed,"Assumed to fill most of the remainder alongside GreenBox, consistent with the 10-K's 'vast majority' language."
greenbox_floor_bound,other,Other customers (residual),3750000000,0.167,derived,"Residual = disclosed total minus this scenario's GreenBox floor and assumed Walmart allocation."
